comm_id,club,event_id,message_type,subject,sent_date,channel,recipients,opened,clicked,open_rate,click_rate
7a7a5aee-674c-48ab-addb-23f1bb38122d,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,announcement,New event announced for next week,2023-01-25,Discord,220,131,95,0.6,0.43
80d3c504-8784-4578-b0f1-3dc8d7ea6448,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,reminder,Last call – seats filling fast,2023-01-19,Email,73,26,2,0.36,0.03
ebcfbf9c-e4cf-4d57-aa64-4c2d9a365fac,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,newsletter,This week in Literary Society,2023-01-25,Notice Board,257,110,71,0.43,0.28
3e105219-ef14-4187-872c-d287188c8bd5,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,feedback_request,Your feedback shapes our next event,2023-01-29,Instagram,193,141,31,0.73,0.16
b071e47c-4eed-4d93-b9e4-8f7c2f0c9ffc,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,announcement,Important update for all members,2024-03-09,Notice Board,272,265,26,0.97,0.1
4d745060-2bcf-4dc7-91c4-3f3a694a3c91,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,reminder,Deadline in 24 hours,2024-03-07,WhatsApp,140,55,36,0.39,0.26
d097f7d4-65d8-4366-8cce-0f54c39f0cd0,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,newsletter,Highlights and upcoming events,2024-03-09,Email,107,45,22,0.42,0.21
e4eb988a-5cfc-4934-9750-d3bda5d3180f,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,feedback_request,Your feedback shapes our next event,2024-03-07,Notice Board,196,115,103,0.59,0.53
a0cc0c6d-b5f8-4645-b032-1630dbbd8c51,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,announcement,Important update for all members,2024-10-30,Email,207,204,6,0.99,0.03
51336a41-12e0-43c5-8ef8-4d735c999e39,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,reminder,Final reminder for registration,2024-10-24,Email,119,74,43,0.62,0.36
749874bd-6010-466a-bbe0-703855e9e80b,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,newsletter,Member spotlight this month,2024-10-24,Email,272,117,72,0.43,0.26
688fea05-21e1-48b5-8f0b-e4ed40acabcb,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,feedback_request,How did we do? Share your feedback,2024-10-24,Notice Board,239,233,7,0.97,0.03
5b97b891-90a5-4240-95f1-0922494de252,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,announcement,Important update for all members,2024-03-05,WhatsApp,146,96,58,0.66,0.4
ee6d8cc7-6d4b-4e84-9bf9-1b25a3dee67d,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,reminder,Event happening tomorrow!,2024-03-07,Email,129,79,72,0.61,0.56
a6aad1ff-34dc-403f-bca2-1700aad8e9f5,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,newsletter,Highlights and upcoming events,2024-03-05,Discord,90,33,5,0.37,0.06
06fba7bb-12af-4aee-9481-830c29b9d978,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,feedback_request,Your feedback shapes our next event,2024-03-09,Instagram,174,129,113,0.74,0.65
d0042f9b-e5eb-49b0-b877-f6fe08d7d9b6,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,announcement,Important update for all members,2024-09-07,Discord,243,203,29,0.84,0.12
4fb9bc56-293c-4e65-842d-334b97eefc26,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,reminder,Last call – seats filling fast,2024-09-03,Notice Board,122,122,86,1.0,0.7
7e7d82f9-3045-4a3f-9cef-2c7a4c1d0f92,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,newsletter,This week in Literary Society,2024-09-09,Email,61,32,25,0.52,0.41
f22401fe-5354-4b78-920f-4333f99df30f,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,feedback_request,Quick 2-min survey for last event,2024-09-07,Instagram,127,65,17,0.51,0.13
ac6b4c5b-1f80-435c-8059-2931d17b311e,Literary Society,63087e30-4470-401e-b681-51d2dba64ab1,announcement,Reminder: Registration closes soon,2023-10-27,WhatsApp,80,24,15,0.3,0.19
