transaction_id,club,event_id,date,type,category,amount,approved_by,status,notes
70a76159-97e1-43ef-a8f9-e2ea379104e5,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,2023-01-26,Expense,Catering,1163.78,Faculty Advisor,Approved,For Debate Night
46b9ba1c-955e-45e6-bb92-97481bdfa7a0,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,2023-01-26,Expense,Miscellaneous,2536.51,Faculty Advisor,Pending,For Debate Night
a1786fd0-a50c-4a8c-bca8-1bddbc5e4784,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,2023-01-26,Expense,Catering,4187.2,Faculty Advisor,Approved,For Debate Night
f271f937-dcd3-49e6-8833-f62fe453f5cc,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,2023-01-26,Expense,Printing,2250.81,Faculty Advisor,Pending,For Debate Night
02a320b9-6a85-49d4-960e-26ee74feda54,Literary Society,f920d700-b298-4012-8aec-9e3153e12e34,2023-01-26,Income,Fundraiser,25087.52,Treasurer,Confirmed,Income for Debate Night
f6124f7c-6e53-4768-8b85-9d3939cd6d22,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,2024-03-08,Expense,Speaker Fees,2062.6,Faculty Advisor,Pending,For Annual Poetry Slam
a931fcb3-1636-4fb7-ba65-2b60642c5feb,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,2024-03-08,Expense,Venue Booking,13936.08,Faculty Advisor,Approved,For Annual Poetry Slam
154f1023-d021-419f-98b8-dd61a4802e74,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,2024-03-08,Expense,Miscellaneous,7132.12,Faculty Advisor,Approved,For Annual Poetry Slam
1d25e90d-f671-45f4-9070-686c6ae3b886,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,2024-03-08,Income,College Grant,16850.2,Treasurer,Confirmed,Income for Annual Poetry Slam
72b61e92-2ab1-421b-97ab-7ff4da389e86,Literary Society,f238a824-5f1c-4c1d-bdf0-6802368a0816,2024-03-08,Income,College Grant,17490.34,Treasurer,Confirmed,Income for Annual Poetry Slam
a1bf7011-a4e5-4fb4-a7e5-fb2d09c8c5b4,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Expense,Miscellaneous,13903.38,Faculty Advisor,Approved,For Author Talk
59fba51d-f464-48a1-b596-167e586c8741,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Expense,Equipment,11092.17,Faculty Advisor,Approved,For Author Talk
ba86a483-48e9-4767-aae0-8b368826f436,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Expense,Catering,6117.38,Faculty Advisor,Approved,For Author Talk
0bc77829-f7cf-4d5c-8795-93ef1ff2cc40,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Expense,Merchandise,6570.64,Faculty Advisor,Approved,For Author Talk
264beabc-f381-4350-aa79-9db566cd35d3,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Expense,Prizes,6269.11,Faculty Advisor,Approved,For Author Talk
416dae72-d043-4d69-bdff-0cc817781bc6,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Income,Fundraiser,24534.31,Treasurer,Confirmed,Income for Author Talk
f168a4e5-d2f6-434c-a8d7-3fe9bbc37162,Literary Society,395fe8ac-4e97-4b3b-a030-950d94c23bf5,2024-10-27,Income,Sponsorship,13556.87,Treasurer,Confirmed,Income for Author Talk
afc0eb40-9b8b-4f1f-a145-0f37d6b5e7fd,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Expense,Speaker Fees,10822.18,Faculty Advisor,Approved,For Debate Night
18bb9906-bd03-4e7b-816f-7b4728f9d5ec,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Expense,Printing,3540.83,Faculty Advisor,Approved,For Debate Night
cd7d28b0-dfcf-43c1-9199-fe53648dbcbe,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Expense,Speaker Fees,13857.28,Faculty Advisor,Approved,For Debate Night
4df2b21b-b051-4482-891d-28a05bf71d6f,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Expense,Equipment,7806.45,Faculty Advisor,Approved,For Debate Night
1a75570b-2575-4dc3-98d9-0ab18c4ff20e,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Income,College Grant,23301.7,Treasurer,Confirmed,Income for Debate Night
f76465f7-bf6b-4653-9495-f0f96d55310e,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Income,Alumni Donation,15450.36,Treasurer,Confirmed,Income for Debate Night
3aba650d-15a8-472a-9941-9a619e30d45a,Literary Society,fa12affd-ae9b-4121-a98e-00fe0168e644,2024-03-08,Income,Alumni Donation,28394.86,Treasurer,Confirmed,Income for Debate Night
5422108a-ea19-475d-8cbd-1e6059fba8ce,Literary Society,2a70b025-f99b-45b8-ab82-c6542070bf6e,2024-09-10,Expense,Prizes,13223.42,Faculty Advisor,Pending,For Debate Night
