project_id,club,project_name,status,start_date,end_date,team_size,lead_member_id,team_member_ids,completion_pct,impact_score,budget,tech_stack,description
b4758b33-feaf-4778-9793-dec5305f6bd9,Literary Society,Annual Magazine,On Hold,2023-11-20,2024-01-01,4,5e9ca06c-8409-4db4-ae3e-f4b2e7e139a3,"5e9ca06c-8409-4db4-ae3e-f4b2e7e139a3,88bd6407-2bcf-4e01-a28d-efe39bf00273,4ec304da-3266-4d20-b8d0-1e9c32fc8c17,b15aab1a-9f95-4869-b1e4-1913669cf2bc,1d24181c-2ed0-47d4-97bc-ad3ad0a17fe8",23,2.8,19455,"Python,React",Annual Magazine initiative by Literary Society
5e71d7cd-57fc-4fa6-8993-92792311b917,Literary Society,Podcast Series,On Hold,2023-04-14,2023-08-31,5,0c472187-fea3-4d37-980b-68530c7031eb,"0c472187-fea3-4d37-980b-68530c7031eb,e54f8894-d19f-484d-aba6-00a6effa91ff,bd945d3f-90a3-440c-ac1c-6022f55db21b,a2dfb7c9-1ff4-4b28-a14d-5e7b07632515,793edd42-06cc-42e4-8d19-803d983a627c",51,4.6,18974,"Python,React",Podcast Series initiative by Literary Society
ff257fc4-7636-47eb-a7d5-66470a28ebf8,Literary Society,Reading Challenge 2024,On Hold,2023-10-31,2024-01-13,5,1578d709-48f9-43d0-9fea-e1e0d9e604b3,"1578d709-48f9-43d0-9fea-e1e0d9e604b3,bd945d3f-90a3-440c-ac1c-6022f55db21b,4140752c-aa44-4259-9001-8b7b6d4067f4,81f7f3fb-19e4-4c6a-89c2-3e69d82c7565,c54461fa-dd35-4c2c-86cb-aa8721786a7e",57,3.9,33748,"Django,PostgreSQL",Reading Challenge 2024 initiative by Literary Society
9ecd9229-6f6f-4745-964b-8b97e986764f,Literary Society,Storytelling Archive,Completed,2023-10-25,2023-12-04,3,fd08b32c-62d6-4e93-a198-5d54cfb87e6f,"fd08b32c-62d6-4e93-a198-5d54cfb87e6f,2a599cec-053f-48bc-8359-d5fafffe0061,9132b63e-f162-47e4-a9c3-49e03602f8ac,f4d67557-6900-4be1-a302-9f70f06e9cff,24f1f2ae-d194-462d-991f-5a48920e72c8",100,4.7,10290,"Python,React",Storytelling Archive initiative by Literary Society
4a84f741-cf94-48a5-88f8-2111d3373b99,Robotics,Line Follower Bot,Active,2023-01-04,2023-03-20,5,3db60d0c-66d4-4e39-8c41-72446d04be48,"3db60d0c-66d4-4e39-8c41-72446d04be48,4c7ee398-4a54-452f-a9c7-6102573b77f8,fd9a9caf-37e1-4afd-873c-f375fa1e59e4,44d18524-cf0e-4567-882d-7fc1be3074f8,f0974f38-7b55-45b8-a5cf-4acd47493003",36,2.9,22756,No-code,Line Follower Bot initiative by Robotics
f6dc78a2-eab7-4e42-aae2-7aa9b45a0cb5,Robotics,Smart Irrigation System,Completed,2023-08-19,2024-01-01,10,c7a628cb-49ac-4d72-a435-4da32aa384b0,"c7a628cb-49ac-4d72-a435-4da32aa384b0,a021c0ca-3531-468d-8342-bd2bf295456e,a1e518a2-93d2-48d4-a465-5c397d4d2add,bc18add0-c72f-4f69-a81c-c7d784a98ce5,bfe92520-ff3e-43ee-b62f-18831275b0ab",100,4.0,10768,"Node.js,MongoDB",Smart Irrigation System initiative by Robotics
af56351b-e81e-4f41-95ae-463021155ff0,Robotics,Robo-Soccer Team,On Hold,2024-02-05,2024-05-22,4,a335b2c8-9e7b-4e95-b692-641a9aad10ce,"a335b2c8-9e7b-4e95-b692-641a9aad10ce,c24369e7-2387-4af6-94c3-a832b231c60b,46c79b36-fd05-4963-9616-af7e1057a002,2b1ac76c-89ec-4c51-98cb-aa5247f53019,be2cac6f-815e-4e7b-8da4-f76e5d68fdc0",77,4.9,28717,No-code,Robo-Soccer Team initiative by Robotics
74d8497f-2637-4e05-a85d-491281a7af0c,Robotics,Campus Automation POC,Planning,2023-09-17,2023-12-12,4,727716ec-59fe-4bbc-b1a3-fad2b0946d2a,"727716ec-59fe-4bbc-b1a3-fad2b0946d2a,7b1dbca3-2286-43f8-8314-96ea2160446e,39ec8ca1-3fb2-4f47-bbcd-6c18a06e8de5,6daa192e-760a-454c-aa87-921d6c326308,f6a9e3e3-b62b-4cb1-8956-0c3685609e8a",29,4.2,36091,"Arduino,C++",Campus Automation POC initiative by Robotics
5ac22cc4-a175-46b8-89b0-02a3f0133e8d,Coding Club,Alumni Connect Portal,Active,2023-04-01,2023-06-10,7,c08d05c0-b805-4b34-9ea4-ba77590bd0d8,"c08d05c0-b805-4b34-9ea4-ba77590bd0d8,cdbc2c1c-a4af-47bd-ae45-5cc6b88e830f,85e8267a-0e23-4fd5-9031-5ccbd208ee77,8e52fc42-73c3-44a6-9ac7-26b667863fb3,20ada318-e04d-4b53-ba94-0968a3094e80",52,4.0,34697,"Python,React",Alumni Connect Portal initiative by Coding Club
2a95aa3e-2d56-4669-9b71-57631101f7b5,Coding Club,College ERP Revamp,Completed,2023-02-23,2023-04-07,4,d287290d-ac81-4644-8d9a-65aa915ad8d5,"d287290d-ac81-4644-8d9a-65aa915ad8d5,ea4f4a80-dc41-4176-9b59-f28ea9de5b26,f10c718b-1eb0-438a-a75d-d5af3c365296,32753922-c298-41a9-bd3f-cf891b5b9608,80759f1f-87e5-40fe-9da8-d6d2f8b38a8b",100,4.7,34151,No-code,College ERP Revamp initiative by Coding Club
fa0d7757-d5a0-4b2e-981f-54e49edb3113,Coding Club,Placement Tracker App,Planning,2023-10-24,2024-02-14,4,7f469d87-ab81-4665-83c5-25cfdb18f72b,"7f469d87-ab81-4665-83c5-25cfdb18f72b,bbfb1b71-0a68-4eb8-876d-e8c5440c7e5b,0f300487-259c-4976-9427-86ba43e0c7a3,9e3ef1a6-02fc-4449-a079-12e1e31ffb8c,4199322e-3ba5-4126-bff6-9f4195082801",40,4.3,18104,"Arduino,C++",Placement Tracker App initiative by Coding Club
20c8387d-4094-4d5a-af4d-decfc886b297,Coding Club,Open Source Library,Planning,2023-04-23,2023-06-10,6,7def3b8e-ec0d-4c3a-b011-b125022111e5,"7def3b8e-ec0d-4c3a-b011-b125022111e5,f10c718b-1eb0-438a-a75d-d5af3c365296,c08d05c0-b805-4b34-9ea4-ba77590bd0d8,150f5ec2-1ac3-4779-9524-d527eda5d626,a1ef7ece-410d-4098-b779-c1b635b9f336",88,3.6,30384,Flutter,Open Source Library initiative by Coding Club
9b4540a7-967e-4c71-bb7d-7513bbc97e49,Entrepreneurship Cell,Startup Incubator Program,Completed,2023-03-11,2023-08-05,5,3c07c574-4925-4af1-b6aa-e05b13d5f2f7,"3c07c574-4925-4af1-b6aa-e05b13d5f2f7,01e187d8-1a31-4044-95a0-f35665abc9ff,c6dc78f7-7bf6-4a7f-b58b-eecc9e405b00,df41e696-fc32-48e1-8c67-447d3db73acc,dd88e600-57e6-456a-8f5e-6f0c74b42e6d",100,2.6,8909,Flutter,Startup Incubator Program initiative by Entrepreneurship Cell
473e29a8-ba3b-496b-b16b-355a17ac58ee,Entrepreneurship Cell,Mentorship Network,Planning,2023-03-11,2023-05-08,7,85319f0f-ba53-4122-b4b7-96204a73b0bf,"85319f0f-ba53-4122-b4b7-96204a73b0bf,acf5e81e-7131-4269-b118-e36477097749,4aeddc83-4290-4e0f-9c7d-55fd2f69b8e1,9ce7eed1-fcdf-4961-a45e-2ad08eefa5dd,e9366a85-3a46-4be3-9255-a4de9330ba83",87,2.9,16136,No-code,Mentorship Network initiative by Entrepreneurship Cell
66b9979a-8e92-47b2-a973-9d47ba05e27b,Entrepreneurship Cell,Social Impact Initiative,Active,2023-10-11,2024-01-07,10,db94b218-f83d-444d-bd90-599bf59a2fd1,"db94b218-f83d-444d-bd90-599bf59a2fd1,dde4f5c1-532c-4c01-b017-c5337d6ce5c3,45c4c9c0-feb9-4285-993c-67dafe7baa4e,f3b63fe1-d184-4324-97e8-392a55cee5db,564da1cc-5ef8-4699-bed6-6c7e9a394ce8",69,3.2,33056,"Node.js,MongoDB",Social Impact Initiative initiative by Entrepreneurship Cell
